credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,fico_category,fico_cat_Poor,fico_cat_Fair,fico_cat_Good,fico_cat_Excellent,interest_tier,int_tier_Low,int_tier_Medium,int_tier_High,int_tier_Very High,dti_category,dti_cat_Low DTI,dti_cat_Medium DTI,dti_cat_High DTI,revol_util_category,util_cat_Very Low,util_cat_Low,util_cat_Medium,util_cat_High,util_cat_Very High,loan_amount,credit_years,credit_history_length,cred_hist_< 5 years,cred_hist_5-10 years,cred_hist_10-15 years,cred_hist_15+ years,fico_interest_interaction,dti_util_interaction,high_risk_flag,annual_income,monthly_income,payment_to_income_ratio,inquiries_per_year,combined_risk_score,has_delinquency,has_public_record,high_inquiries,high_utilization,meets_credit_policy
1,debt_consolidation,0.1189,829.1,11.35040654,19.48,737,5639.958333,28854,52.1,0,0,0,0,Good,False,False,True,False,Medium,False,True,False,False,Medium DTI,False,True,False,Medium,False,False,True,False,False,25001.66143937487,15.451940638356163,15+ years,False,False,False,True,87.6293,1014.908,0,85000.00038484143,7083.333365403453,0.11704941123475926,0.0,0.44362370906802756,0,0,0,0,1
1,credit_card,0.1071,228.22,11.08214255,14.29,707,2760.0,33623,76.7,0,0,0,0,Good,False,False,True,False,Medium,False,True,False,False,Medium DTI,False,True,False,High,False,False,False,True,False,7000.279672551284,7.561643835616438,5-10 years,False,True,False,False,75.7197,1096.043,0,65000.000072944706,5416.666672745392,0.042132923029640404,0.0,0.4818271486230734,0,0,0,1,1
1,debt_consolidation,0.1357,366.86,10.37349118,11.63,682,4710.0,3511,25.6,1,0,0,0,Fair,False,True,False,False,High,False,False,True,False,Medium DTI,False,True,False,Low,False,True,False,False,False,10799.797740065604,12.904109589041095,10-15 years,False,False,True,False,92.5474,297.728,0,31999.999942980376,2666.6666619150315,0.13757250024513537,0.15498938428874737,0.5054685898531852,0,0,0,0,1
1,debt_consolidation,0.1008,162.34,11.35040654,8.1,712,2699.958333,33667,73.2,1,0,0,0,Good,False,False,True,False,Medium,False,True,False,False,Low DTI,True,False,False,High,False,False,False,True,False,5025.265661292734,7.397146117808219,5-10 years,False,True,False,False,71.7696,592.92,0,85000.00038484143,7083.333365403453,0.02291858813152915,0.27037454285039886,0.4250373375964638,0,0,0,1,1
1,credit_card,0.1426,102.92,11.29973224,14.97,667,4066.0,4740,39.5,0,1,0,0,Fair,False,True,False,False,High,False,False,True,False,Medium DTI,False,True,False,Low,False,True,False,False,False,3000.2292543640206,11.139726027397261,10-15 years,False,False,True,False,95.1142,591.315,0,80799.99963565778,6733.333302971481,0.015285148583775063,0.0,0.5808541655135733,1,0,0,0,1
1,credit_card,0.0788,125.13,11.90496755,16.98,727,6120.041667,50807,51.0,0,0,0,0,Good,False,False,True,False,Low,True,False,False,False,Medium DTI,False,True,False,Medium,False,False,True,False,False,4000.187128229973,16.76723744383562,15+ years,False,False,False,True,57.2876,865.98,0,147999.99959355473,12333.333299462895,0.010145675703538255,0.0,0.3714069581226365,0,0,0,0,1
1,debt_consolidation,0.1496,194.02,10.71441777,4.0,667,3180.041667,3839,76.8,0,0,1,1,Fair,False,True,False,False,High,False,False,True,False,Low DTI,True,False,False,High,False,False,False,True,False,5600.110725750897,8.712442923287671,5-10 years,False,True,False,False,99.78320000000001,307.2,0,45000.00005613948,3750.0000046782898,0.05173866660212041,0.0,0.586374851236054,0,1,0,1,1
1,all_other,0.1114,131.22,11.00209984,11.08,722,5116.0,24220,68.6,0,0,0,1,Good,False,False,True,False,Medium,False,True,False,False,Medium DTI,False,True,False,High,False,False,False,True,False,3999.9931946758134,14.016438356164384,10-15 years,False,False,True,False,80.4308,760.088,0,59999.99992774572,4999.9999939788095,0.026244000031604025,0.0,0.4358867411152775,0,0,0,0,1
1,home_improvement,0.1134,87.19,11.40756495,17.25,682,3989.0,69909,51.1,1,0,0,0,Fair,False,True,False,False,Medium,False,True,False,False,Medium DTI,False,True,False,Medium,False,False,True,False,False,2650.1549204755042,10.92876712328767,10-15 years,False,False,True,False,77.3388,881.475,0,90000.00006188375,7500.00000515698,0.011625333325339786,0.18300325896214592,0.5229740276235798,0,0,0,0,1
1,debt_consolidation,0.1221,84.12,10.20359214,10.0,707,2730.041667,5630,23.0,1,0,0,0,Good,False,False,True,False,High,False,False,True,False,Low DTI,True,False,False,Low,False,True,False,False,False,2525.0115402617294,7.479566210958904,5-10 years,False,True,False,False,86.3247,230.0,0,26999.999865365404,2249.99998878045,0.03738666685309403,0.2673951862435073,0.4214318133251997,0,0,0,0,1
1,debt_consolidation,0.1347,360.43,10.4341158,22.09,677,6713.041667,13846,71.0,2,0,1,0,Fair,False,True,False,False,High,False,False,True,False,High DTI,False,False,True,High,False,False,False,True,False,10625.640472461075,18.391894978082192,15+ years,False,False,False,True,91.19189999999999,1568.39,1,33999.99987765788,2833.3333231381566,0.12721058869303567,0.21748710531279353,0.622449474058355,0,1,0,1,1
1,debt_consolidation,0.1324,253.58,11.83500896,9.16,662,4298.0,5122,18.2,2,1,0,0,Fair,False,True,False,False,High,False,False,True,False,Low DTI,True,False,False,Very Low,True,False,False,False,False,7500.221720671679,11.775342465753425,10-15 years,False,False,True,False,87.6488,166.712,0,137999.9994287708,11499.999952397566,0.02205043487388299,0.33969288040949275,0.5146537491611369,1,0,0,0,1
1,debt_consolidation,0.0859,316.11,10.93310697,15.49,767,6519.958333,6068,16.7,0,0,0,0,Excellent,False,False,False,True,Medium,False,True,False,False,Medium DTI,False,True,False,Very Low,True,False,False,False,False,10000.551392456759,17.86289954246575,15+ years,False,False,False,True,65.8853,258.683,0,56000.00001583201,4666.666667986001,0.06773785712370667,0.0,0.25991203858956813,0,0,0,0,1
1,small_business,0.0714,92.82,11.51292546,6.5,747,4384.0,3021,4.8,0,1,0,0,Good,False,False,True,False,Low,True,False,False,False,Low DTI,True,False,False,Very Low,True,False,False,False,False,2999.8887568032164,12.01095890410959,10-15 years,False,False,True,False,53.335800000000006,31.2,0,99999.99950297715,8333.333291914763,0.011138400055360391,0.0,0.20929802833127809,1,0,0,0,1
1,debt_consolidation,0.0863,209.54,9.487972109,9.73,727,1559.958333,6282,44.6,0,0,0,0,Good,False,False,True,False,Medium,False,True,False,False,Low DTI,True,False,False,Medium,False,False,True,False,False,6625.182119938115,4.273858446575343,< 5 years,True,False,False,False,62.7401,433.958,0,13200.00000561709,1100.0000004680908,0.19049090900984814,0.0,0.3414275226263738,0,0,0,0,1
1,major_purchase,0.1103,327.53,10.73891524,13.04,702,8159.958333,5394,53.4,1,0,0,0,Good,False,False,True,False,Medium,False,True,False,False,Medium DTI,False,True,False,Medium,False,False,True,False,False,10000.022639428664,22.356050227397258,15+ years,False,False,False,True,77.4306,696.3359999999999,0,46115.99998372827,3842.999998644022,0.08522768673316858,0.089461241125188,0.4616394892629098,0,0,0,0,1
1,all_other,0.1317,77.69,10.52277288,2.26,672,3895.958333,2211,88.4,0,0,0,0,Fair,False,True,False,False,High,False,False,True,False,Low DTI,True,False,False,Very High,False,False,False,False,True,2300.161248658735,10.673858446575343,10-15 years,False,False,True,False,88.50240000000001,199.784,0,37151.99983290449,3095.999986075374,0.025093669363507737,0.0,0.5486477205436666,0,0,0,1,1
1,credit_card,0.0894,476.58,11.60823564,7.07,797,6510.958333,7586,52.7,1,0,0,0,Excellent,False,False,False,True,Medium,False,True,False,False,Low DTI,True,False,False,Medium,False,False,True,False,False,15000.087223718343,17.838242008219176,15+ years,False,False,False,True,71.25179999999999,372.58900000000006,0,109999.99947479916,9166.66662289993,0.05199054570277708,0.11211867173225237,0.2140335830712089,0,0,0,0,1
1,debt_consolidation,0.1039,584.12,10.49127422,3.8,712,2760.0,8311,59.8,0,0,0,0,Good,False,False,True,False,Medium,False,True,False,False,Low DTI,True,False,False,Medium,False,False,True,False,False,18000.283631617975,7.561643835616438,5-10 years,False,True,False,False,73.97680000000001,227.23999999999998,0,36000.00009222308,3000.000007685257,0.1947066661678764,0.0,0.3925641679141252,0,0,0,0,1
1,major_purchase,0.1513,173.65,11.00209984,2.74,667,1126.958333,591,84.4,3,0,0,0,Fair,False,True,False,False,High,False,False,True,False,Low DTI,True,False,False,Very High,False,False,False,False,True,5000.140531280072,3.087557076712329,< 5 years,True,False,False,False,100.91709999999999,231.25600000000003,0,59999.99992774572,4999.9999939788095,0.03473000004182319,1.9432839137629412,0.5929071415190912,0,0,0,1,1
1,all_other,0.08,188.02,11.22524339,16.08,772,4888.958333,29797,23.2,1,0,0,0,Excellent,False,False,False,True,Low,True,False,False,False,Medium DTI,False,True,False,Low,False,True,False,False,False,6000.05767201737,13.394406391780821,10-15 years,False,False,True,False,61.76,373.0559999999999,0,74999.99981111637,6249.999984259698,0.030083200075762987,0.14931606086158886,0.2504397933540047,0,0,0,0,1
1,all_other,0.0863,474.42,10.81977828,2.59,797,11951.0,5656,27.6,0,0,0,0,Excellent,False,False,False,True,Medium,False,True,False,False,Low DTI,True,False,False,Low,False,True,False,False,False,15000.090203975567,32.74246575342466,15+ years,False,False,False,True,68.7811,71.484,0,49999.99977948582,4166.666648290485,0.11386080050215844,0.0,0.15401872950686565,0,0,0,0,1
1,credit_card,0.1355,339.6,11.51292546,7.94,662,1939.958333,21162,57.7,0,0,0,0,Fair,False,True,False,False,High,False,False,True,False,Low DTI,True,False,False,Medium,False,False,True,False,False,10000.154217840693,5.314954336986301,5-10 years,False,True,False,False,89.70100000000001,458.13800000000003,0,99999.99950297715,8333.333291914763,0.040752000202546754,0.0,0.5642818124953695,0,0,0,0,1
1,credit_card,0.0788,484.85,11.73606902,7.05,782,5640.041667,16931,34.6,1,0,0,0,Excellent,False,False,False,True,Low,True,False,False,False,Low DTI,True,False,False,Low,False,True,False,False,False,15499.80603470233,15.452168950684932,15+ years,False,False,False,True,61.621599999999994,243.93,0,125000.00046444529,10416.66670537044,0.04654559982705693,0.1294316679026052,0.198692819435212,0,0,0,0,1
1,debt_consolidation,0.1229,320.19,11.26446411,8.8,672,3760.958333,4822,58.1,0,0,1,0,Fair,False,True,False,False,High,False,False,True,False,Low DTI,True,False,False,Medium,False,False,True,False,False,9600.038927022244,10.303995432876713,10-15 years,False,False,True,False,82.58879999999999,511.28000000000003,0,78000.00033760519,6500.000028133766,0.049259999786789334,0.0,0.5263183060472707,0,1,0,0,1
1,all_other,0.0901,159.03,12.4292162,10.0,712,1553.958333,14354,36.6,0,2,0,0,Good,False,False,True,False,Medium,False,True,False,False,Low DTI,True,False,False,Low,False,True,False,False,False,5000.253582576909,4.257420090410959,< 5 years,True,False,False,False,64.1512,366.0,0,250000.00078890435,20833.333399075364,0.007633439975911783,0.0,0.36789127071786354,1,0,0,0,1
1,all_other,0.0743,155.38,11.08214255,0.28,802,4649.958333,1576,5.7,1,0,0,0,Excellent,False,False,False,True,Low,True,False,False,False,Low DTI,True,False,False,Very Low,True,False,False,False,False,5000.3090383484405,12.739611871232876,10-15 years,False,False,True,False,59.58860000000001,1.5960000000000003,0,65000.000072944706,5416.666672745392,0.028685538429346798,0.15699065404937254,0.08252803853461667,0,0,0,0,1
1,debt_consolidation,0.1375,255.43,9.998797732,14.29,662,1318.958333,4175,51.5,0,1,0,0,Fair,False,True,False,False,High,False,False,True,False,Medium DTI,False,True,False,Medium,False,False,True,False,False,7500.220347142015,3.613584473972603,< 5 years,True,False,False,False,91.025,735.935,0,21999.999992510035,1833.3333327091696,0.1393254545928883,0.0,0.5920953934336366,1,0,0,0,1
1,all_other,0.0743,155.38,12.20607265,0.28,772,4516.958333,3164,13.7,0,0,0,0,Excellent,False,False,False,True,Low,True,False,False,False,Low DTI,True,False,False,Very Low,True,False,False,False,False,5000.3090383484405,12.37522830958904,10-15 years,False,False,True,False,57.3596,3.8360000000000003,0,200000.00089396513,16666.66674116376,0.00932279995832871,0.0,0.14842602563643414,0,0,0,0,1
1,all_other,0.0743,155.38,12.20607265,3.72,812,6778.958333,85607,0.7,0,0,0,0,Excellent,False,False,False,True,Low,True,False,False,False,Low DTI,True,False,False,Very Low,True,False,False,False,False,5000.3090383484405,18.572488583561643,15+ years,False,False,False,True,60.3316,2.604,0,200000.00089396513,16666.66674116376,0.00932279995832871,0.0,0.07484383031535854,0,0,0,0,1
1,debt_consolidation,0.0807,156.84,11.51292546,2.3,742,3148.958333,9698,19.4,0,0,0,0,Good,False,False,True,False,Medium,False,True,False,False,Low DTI,True,False,False,Very Low,True,False,False,False,False,4999.893543010392,8.627283104109589,5-10 years,False,True,False,False,59.8794,44.61999999999999,0,99999.99950297715,8333.333291914763,0.018820800093543675,0.0,0.2338145525543406,0,0,0,0,1
1,credit_card,0.1028,275.38,9.798127037,6.4,692,7469.958333,8847,26.9,1,1,0,0,Fair,False,True,False,False,Medium,False,True,False,False,Low DTI,True,False,False,Low,False,True,False,False,False,8499.69612834204,20.46563926849315,15+ years,False,False,False,True,71.1376,172.16,0,18000.000002190576,1500.000000182548,0.1835866666443244,0.09772477535451335,0.39921026405516047,1,0,0,0,1
1,home_improvement,0.0743,155.38,11.91839057,0.0,777,7128.958333,6053,19.5,0,0,0,0,Excellent,False,False,False,True,Low,True,False,False,False,,False,False,False,Very Low,True,False,False,False,False,5000.3090383484405,19.531392693150682,15+ years,False,False,False,True,57.731100000000005,0.0,0,149999.999538241,12499.999961520085,0.01243040003826566,0.0,0.1450327552659082,0,0,0,0,1
1,home_improvement,0.0807,78.42,11.60823564,11.33,762,6059.958333,7274,13.1,0,0,0,0,Excellent,False,False,False,True,Medium,False,True,False,False,Medium DTI,False,True,False,Very Low,True,False,False,False,False,2499.946771505196,16.60262556986301,15+ years,False,False,False,True,61.493399999999994,148.423,0,109999.99947479916,9166.66662289993,0.008554909131754959,0.0,0.2338743541320027,0,0,0,0,1
1,credit_card,0.087,158.3,11.22524339,15.55,757,4770.0,66033,23.0,0,0,0,0,Excellent,False,False,False,True,Medium,False,True,False,False,Medium DTI,False,True,False,Low,False,True,False,False,False,4999.9537584322525,13.068493150684931,10-15 years,False,False,True,False,65.859,357.65000000000003,0,74999.99981111637,6249.999984259698,0.02532800006378726,0.0,0.2888682411815449,0,0,0,0,1
1,all_other,0.0743,155.38,11.46163217,3.83,772,2535.0,3660,6.8,0,0,0,0,Excellent,False,False,False,True,Low,True,False,False,False,Low DTI,True,False,False,Very Low,True,False,False,False,False,5000.3090383484405,6.945205479452055,5-10 years,False,True,False,False,57.3596,26.044,0,94999.99994464558,7916.666662053798,0.019626947379857245,0.0,0.15750224490919,0,0,0,0,1
1,credit_card,0.0743,155.38,11.35040654,0.31,787,3540.0,216,0.6,0,0,0,0,Excellent,False,False,False,True,Low,True,False,False,False,Low DTI,True,False,False,Very Low,True,False,False,False,False,5000.3090383484405,9.698630136986301,5-10 years,False,True,False,False,58.47410000000001,0.186,0,85000.00038484143,7083.333365403453,0.021935999900683744,0.0,0.10415664411725399,0,0,0,0,1
1,credit_card,0.1122,164.23,11.28978191,1.21,672,3990.0,27185,16.1,3,0,1,0,Fair,False,True,False,False,Medium,False,True,False,False,Low DTI,True,False,False,Very Low,True,False,False,False,False,5000.456813137234,10.931506849315069,10-15 years,False,False,True,False,75.3984,19.481,0,79999.99970751852,6666.66664229321,0.024634500090064185,0.5488721804511278,0.4148521653447484,0,1,0,0,1
1,debt_consolidation,0.0996,161.25,10.77895629,8.03,707,4320.0,28329,48.6,1,0,0,0,Good,False,False,True,False,Medium,False,True,False,False,Low DTI,True,False,False,Medium,False,False,True,False,False,5000.246417834288,11.835616438356164,10-15 years,False,False,True,False,70.4172,390.258,0,48000.00000527866,4000.0000004398885,0.04031249999556675,0.16898148148148148,0.40067900224546504,0,0,0,0,1
1,home_improvement,0.0933,159.77,12.10071213,11.93,717,4498.958333,60568,39.2,1,0,0,0,Good,False,False,True,False,Medium,False,True,False,False,Medium DTI,False,True,False,Low,False,True,False,False,False,5000.0717646793,12.32591324109589,10-15 years,False,False,True,False,66.89609999999999,467.656,0,180000.00002297742,15000.000001914785,0.010651333331973666,0.16225978236904912,0.3776672473228446,0,0,0,0,1
1,home_improvement,0.0807,156.84,12.10071213,5.55,742,4019.0,40934,26.3,0,0,0,0,Good,False,False,True,False,Medium,False,True,False,False,Low DTI,True,False,False,Low,False,True,False,False,False,4999.893543010392,11.01095890410959,10-15 years,False,False,True,False,59.8794,145.965,0,180000.00002297742,15000.000001914785,0.010455999998665267,0.0,0.25878372714006276,0,0,0,0,1
1,debt_consolidation,0.0743,155.38,11.69524702,2.29,777,3540.0,8379,16.9,0,0,0,0,Excellent,False,False,False,True,Low,True,False,False,False,Low DTI,True,False,False,Very Low,True,False,False,False,False,5000.3090383484405,9.698630136986301,5-10 years,False,True,False,False,57.731100000000005,38.701,0,119999.99978829804,9999.99998235817,0.015538000027411876,0.0,0.15322073139093764,0,0,0,0,1
1,small_business,0.087,94.98,10.1266311,14.54,752,2460.0,3660,7.8,1,0,0,0,Excellent,False,False,False,True,Medium,False,True,False,False,Medium DTI,False,True,False,Very Low,True,False,False,False,False,2999.972255059351,6.739726027397261,5-10 years,False,True,False,False,65.42399999999999,113.41199999999999,0,24999.999903741576,2083.333325311798,0.045590400175538406,0.2967479674796748,0.2739541605742965,0,0,0,0,1
